Order ID,Date,Customer ID,Product,Category,Region,Quantity,Unit Price,Revenue
ORD01608,2025-01-08,CUST0072,Whiteboard,Stationery,East,1,1499,1549.32
ORD01197,2025-01-08,CUST0183,Wireless Mouse,Electronics,North,1,799,766.62
ORD02890,2025-01-08,CUST0183,Running Shoes,Sportswear,East,1,3499,3542.79
ORD02822,2025-01-08,CUST0109,Yoga Mat,Sportswear,West,1,999,1024.09
ORD01110,2025-01-08,CUST0177,Mechanical Keyboard,Electronics,South,4,2499,10346.03
ORD00841,2025-01-09,CUST0157,Backpack,Accessories,Central,3,1999,6128.57
ORD01406,2025-01-09,CUST0061,Bluetooth Speaker,Electronics,North,1,1899,1812.39
ORD01508,2025-01-09,CUST0107,Wireless Mouse,Electronics,South,1,799,815.72
ORD00654,2025-01-10,CUST0015,Backpack,Accessories,West,2,1999,3942.18
ORD02166,2025-01-10,CUST0200,Mechanical Keyboard,Electronics,North,3,2499,7694.43
ORD00102,2025-01-10,CUST0013,Office Chair,Furniture,South,1,6499,6817.43
ORD00373,2025-01-10,CUST0014,Bluetooth Speaker,Electronics,South,1,1899,1933.68
ORD00955,2025-01-10,CUST0195,Yoga Mat,Sportswear,South,2,999,1956.96
ORD01792,2025-01-10,CUST0095,Mechanical Keyboard,Electronics,West,3,2499,7750.22
ORD01022,2025-01-10,CUST0133,Wireless Mouse,Electronics,East,2,799,1580.74
ORD00947,2025-01-11,CUST0185,Whiteboard,Stationery,Central,1,1499,1545.11
ORD00744,2025-01-11,CUST0168,Yoga Mat,Sportswear,Central,1,999,981.63
ORD01955,2025-01-12,CUST0098,Sunglasses,Accessories,North,2,1299,2587.42
ORD00569,2025-01-12,CUST0069,Water Bottle,Sportswear,South,3,449,1389.74
ORD02305,2025-01-12,CUST0018,Sunglasses,Accessories,Central,1,1299,1309.77
ORD01614,2025-01-12,CUST0030,Standing Desk,Furniture,West,1,12999,12696.55
ORD02326,2025-01-12,CUST0065,Bluetooth Speaker,Electronics,South,1,1899,1881.21
ORD00189,2025-01-12,CUST0173,Desk Lamp,Furniture,Central,3,899,2688.96
ORD01048,2025-01-13,CUST0156,Running Shoes,Sportswear,South,3,3499,10471.87
ORD02271,2025-01-13,CUST0156,Mechanical Keyboard,Electronics,West,1,2499,2494.57
ORD01278,2025-01-13,CUST0071,Running Shoes,Sportswear,West,2,3499,6918.12
ORD01418,2025-01-13,CUST0131,USB-C Hub,Electronics,North,1,1299,1272.77
ORD02989,2025-01-13,CUST0185,Yoga Mat,Sportswear,East,3,999,3120.2
ORD02528,2025-01-13,CUST0081,Standing Desk,Furniture,Central,1,12999,13395.93
ORD00877,2025-01-13,CUST0076,USB-C Hub,Electronics,Central,1,1299,1359.06
ORD01025,2025-01-13,CUST0038,Yoga Mat,Sportswear,West,1,999,1038.38
ORD01232,2025-01-14,CUST0187,Desk Lamp,Furniture,North,3,899,2562.58
ORD01898,2025-01-14,CUST0001,Running Shoes,Sportswear,South,1,3499,3646.15
ORD02208,2025-01-14,CUST0078,Running Shoes,Sportswear,North,1,3499,3366.0
ORD01725,2025-01-14,CUST0111,USB-C Hub,Electronics,East,1,1299,1347.33
ORD02510,2025-01-14,CUST0079,Office Chair,Furniture,South,1,6499,6692.75
ORD01291,2025-01-14,CUST0199,Office Chair,Furniture,East,1,6499,6607.28
ORD00092,2025-01-15,CUST0017,Whiteboard,Stationery,South,1,1499,1508.59
ORD01806,2025-01-15,CUST0021,Mechanical Keyboard,Electronics,Central,2,2499,5168.38
ORD01754,2025-01-15,CUST0104,Mechanical Keyboard,Electronics,South,1,2499,2618.36
ORD01920,2025-01-15,CUST0192,Bluetooth Speaker,Electronics,Central,3,1899,5722.21
ORD01036,2025-01-15,CUST0052,Sticky Notes Pack,Stationery,West,1,99,94.95
ORD00011,2025-01-15,CUST0088,Water Bottle,Sportswear,North,1,449,470.86
ORD02373,2025-01-15,CUST0197,Wireless Mouse,Electronics,South,3,799,2373.59
ORD00401,2025-01-15,CUST0003,Water Bottle,Sportswear,Central,6,449,2682.85
ORD00742,2025-01-16,CUST0077,Desk Lamp,Furniture,North,4,899,3739.57
ORD01758,2025-01-16,CUST0066,Sunglasses,Accessories,East,2,1299,2641.56
ORD00146,2025-01-16,CUST0007,Desk Lamp,Furniture,North,3,899,2594.65
ORD02457,2025-01-16,CUST0058,Backpack,Accessories,North,2,1999,4156.74
ORD01555,2025-01-16,CUST0001,Office Chair,Furniture,North,6,6499,38680.25
ORD00885,2025-01-17,CUST0196,USB-C Hub,Electronics,South,2,1299,2554.89
ORD01037,2025-01-17,CUST0070,Sunglasses,Accessories,West,3,1299,3794.37
ORD02882,2025-01-17,CUST0167,Standing Desk,Furniture,West,2,12999,27020.61
ORD00144,2025-01-17,CUST0083,Sticky Notes Pack,Stationery,Central,2,99,207.07
ORD00125,2025-01-18,CUST0166,Wireless Mouse,Electronics,East,3,799,2373.21
ORD01480,2025-01-18,CUST0039,Standing Desk,Furniture,East,2,12999,27272.87
ORD02976,2025-01-18,CUST0155,Yoga Mat,Sportswear,East,2,999,2051.68
ORD01899,2025-01-19,CUST0058,Notebook Set,Stationery,North,1,199,208.75
ORD00774,2025-01-19,CUST0168,Wireless Mouse,Electronics,Central,3,799,2488.71
ORD00769,2025-01-19,CUST0040,Wireless Mouse,Electronics,East,1,799,805.28
ORD00436,2025-01-19,CUST0196,Standing Desk,Furniture,North,1,12999,12835.11
ORD01195,2025-01-19,CUST0095,Mechanical Keyboard,Electronics,East,3,2499,7136.77
ORD01108,2025-01-19,CUST0192,Bluetooth Speaker,Electronics,West,1,1899,1945.77
ORD01129,2025-01-19,CUST0194,Wireless Mouse,Electronics,East,1,799,818.83
ORD00040,2025-01-20,CUST0142,Wireless Mouse,Electronics,West,1,799,790.75
ORD00994,2025-01-20,CUST0122,Whiteboard,Stationery,North,1,1499,1504.32
ORD02167,2025-01-21,CUST0074,Sticky Notes Pack,Stationery,West,3,99,282.82
ORD01102,2025-01-21,CUST0192,USB-C Hub,Electronics,Central,1,1299,1293.31
ORD01916,2025-01-21,CUST0068,Backpack,Accessories,Central,2,1999,3903.34
ORD00809,2025-01-21,CUST0082,Desk Lamp,Furniture,East,2,899,1855.87
ORD01868,2025-01-21,CUST0083,Wireless Mouse,Electronics,South,1,799,837.67
ORD01466,2025-01-21,CUST0008,Backpack,Accessories,West,1,1999,1904.75
ORD00170,2025-01-22,CUST0014,Sticky Notes Pack,Stationery,Central,1,99,102.49
ORD01866,2025-01-22,CUST0069,Standing Desk,Furniture,Central,1,12999,12606.96
ORD01229,2025-01-22,CUST0109,Yoga Mat,Sportswear,East,2,999,2089.16
ORD00174,2025-01-22,CUST0021,Running Shoes,Sportswear,Central,2,3499,6950.65
ORD00188,2025-01-22,CUST0014,Sticky Notes Pack,Stationery,East,1,99,95.67
ORD00965,2025-01-22,CUST0051,Whiteboard,Stationery,Central,1,1499,1499.25
ORD01559,2025-01-23,CUST0043,Desk Lamp,Furniture,West,2,899,1740.74
ORD01888,2025-01-24,CUST0086,Wireless Mouse,Electronics,East,3,799,2434.86
ORD00974,2025-01-24,CUST0024,Yoga Mat,Sportswear,Central,1,999,1034.84
ORD01225,2025-01-24,CUST0132,Whiteboard,Stationery,South,1,1499,1517.91
ORD00892,2025-01-25,CUST0064,Running Shoes,Sportswear,West,3,3499,10663.8
ORD00564,2025-01-25,CUST0011,Backpack,Accessories,Central,1,1999,1914.4
ORD02837,2025-01-25,CUST0197,USB-C Hub,Electronics,Central,2,1299,2517.81
ORD01371,2025-01-25,CUST0178,Standing Desk,Furniture,South,1,12999,12439.26
ORD01234,2025-01-26,CUST0077,Sunglasses,Accessories,North,2,1299,2649.43
ORD01324,2025-01-26,CUST0081,Sticky Notes Pack,Stationery,Central,3,99,285.34
ORD01824,2025-01-26,CUST0056,Whiteboard,Stationery,West,2,1499,3057.87
ORD00300,2025-01-26,CUST0131,Wireless Mouse,Electronics,West,1,799,764.26
ORD02347,2025-01-26,CUST0115,Sticky Notes Pack,Stationery,West,4,99,400.41
ORD01834,2025-01-26,CUST0038,Standing Desk,Furniture,Central,3,12999,39995.04
ORD00326,2025-01-26,CUST0132,Bluetooth Speaker,Electronics,West,3,1899,5812.44
ORD00856,2025-01-27,CUST0188,Backpack,Accessories,North,1,1999,2049.08
ORD02770,2025-01-27,CUST0112,Notebook Set,Stationery,Central,1,199,192.3
ORD00572,2025-01-27,CUST0164,Desk Lamp,Furniture,South,1,899,878.16
ORD00698,2025-01-27,CUST0130,Sticky Notes Pack,Stationery,South,3,99,303.12
ORD01404,2025-01-27,CUST0018,Standing Desk,Furniture,North,3,12999,37923.26
ORD00090,2025-01-28,CUST0115,Desk Lamp,Furniture,East,2,899,1734.66
ORD01539,2025-01-28,CUST0030,Notebook Set,Stationery,South,2,199,383.14
ORD01553,2025-01-28,CUST0015,Bluetooth Speaker,Electronics,South,3,1899,5474.69
ORD00832,2025-01-28,CUST0054,Water Bottle,Sportswear,West,1,449,440.19
ORD01973,2025-01-28,CUST0010,Bluetooth Speaker,Electronics,Central,1,1899,1828.58
ORD02062,2025-01-28,CUST0083,Office Chair,Furniture,Central,1,6499,6357.65
ORD00198,2025-01-28,CUST0184,Mechanical Keyboard,Electronics,West,1,2499,2521.09
ORD02404,2025-01-28,CUST0046,Backpack,Accessories,West,4,1999,8249.03
ORD01711,2025-01-29,CUST0027,Sunglasses,Accessories,Central,1,1299,1257.39
ORD02052,2025-01-29,CUST0143,Sticky Notes Pack,Stationery,West,1,99,95.93
ORD02652,2025-01-29,CUST0058,Whiteboard,Stationery,West,1,1499,1569.54
ORD01992,2025-01-29,CUST0007,Yoga Mat,Sportswear,North,1,999,956.1
ORD02016,2025-01-29,CUST0187,Yoga Mat,Sportswear,East,1,999,1002.74
ORD02474,2025-01-30,CUST0032,Bluetooth Speaker,Electronics,East,5,1899,9245.24
ORD01755,2025-01-30,CUST0143,Standing Desk,Furniture,South,2,12999,25328.11
ORD00544,2025-01-30,CUST0123,Running Shoes,Sportswear,Central,1,3499,3384.42
ORD02862,2025-01-30,CUST0175,Wireless Mouse,Electronics,East,3,799,2445.17
ORD01223,2025-01-31,CUST0016,Sunglasses,Accessories,East,2,1299,2581.45
ORD00165,2025-01-31,CUST0181,Desk Lamp,Furniture,South,1,899,927.76
ORD01851,2025-01-31,CUST0130,Office Chair,Furniture,West,2,6499,13470.22
ORD02796,2025-01-31,CUST0183,Running Shoes,Sportswear,Central,2,3499,6663.65
ORD02480,2025-01-31,CUST0048,Sticky Notes Pack,Stationery,South,5,99,475.98
ORD02991,2025-01-31,CUST0178,Notebook Set,Stationery,West,3,199,584.82
ORD00510,2025-01-31,CUST0010,Desk Lamp,Furniture,East,2,899,1794.13
ORD01448,2025-01-31,CUST0140,Bluetooth Speaker,Electronics,South,1,1899,1844.97
ORD00931,2025-01-31,CUST0071,Office Chair,Furniture,East,4,6499,25337.41
ORD01179,2025-02-01,CUST0086,Sunglasses,Accessories,West,3,1299,3793.53
ORD01735,2025-02-01,CUST0023,Notebook Set,Stationery,Central,1,199,190.67
ORD02201,2025-02-01,CUST0045,Yoga Mat,Sportswear,North,2,999,1991.18
ORD02622,2025-02-02,CUST0025,USB-C Hub,Electronics,West,3,1299,3984.23
ORD01840,2025-02-02,CUST0009,Notebook Set,Stationery,East,2,199,383.14
ORD01594,2025-02-02,CUST0019,Whiteboard,Stationery,North,1,1499,1456.42
ORD02977,2025-02-02,CUST0200,Water Bottle,Sportswear,East,3,449,1367.62
ORD02745,2025-02-02,CUST0034,Sticky Notes Pack,Stationery,West,3,99,311.14
ORD01202,2025-02-03,CUST0165,Desk Lamp,Furniture,Central,1,899,922.44
ORD01658,2025-02-03,CUST0046,USB-C Hub,Electronics,East,1,1299,1342.77
ORD01194,2025-02-03,CUST0059,Bluetooth Speaker,Electronics,Central,1,1899,1932.78
ORD00941,2025-02-03,CUST0189,Mechanical Keyboard,Electronics,East,3,2499,7265.52
ORD02173,2025-02-03,CUST0084,Wireless Mouse,Electronics,South,1,799,764.59
ORD01744,2025-02-04,CUST0126,Whiteboard,Stationery,East,1,1499,1448.43
ORD01178,2025-02-04,CUST0025,Wireless Mouse,Electronics,North,1,799,769.22
ORD00017,2025-02-05,CUST0086,Water Bottle,Sportswear,West,1,449,439.56
ORD02968,2025-02-05,CUST0192,Standing Desk,Furniture,South,1,12999,12890.05
ORD01812,2025-02-05,CUST0069,Sunglasses,Accessories,East,1,1299,1239.71
ORD01819,2025-02-05,CUST0097,Sunglasses,Accessories,South,3,1299,3841.78
ORD02835,2025-02-06,CUST0197,Desk Lamp,Furniture,Central,2,899,1788.27
ORD00983,2025-02-06,CUST0088,Bluetooth Speaker,Electronics,South,1,1899,1972.78
ORD00421,2025-02-07,CUST0025,USB-C Hub,Electronics,East,4,1299,5105.22
ORD02238,2025-02-07,CUST0074,Standing Desk,Furniture,North,4,12999,54216.29
ORD01761,2025-02-08,CUST0003,Running Shoes,Sportswear,North,2,3499,6925.24
ORD00588,2025-02-08,CUST0194,Yoga Mat,Sportswear,Central,4,999,4118.09
ORD01099,2025-02-08,CUST0173,Standing Desk,Furniture,South,2,12999,25281.41
ORD01956,2025-02-08,CUST0197,Standing Desk,Furniture,North,2,12999,25257.04
ORD01772,2025-02-08,CUST0138,Backpack,Accessories,East,2,1999,3987.22
ORD02707,2025-02-08,CUST0088,Water Bottle,Sportswear,Central,2,449,900.22
ORD02678,2025-02-09,CUST0025,Office Chair,Furniture,South,3,6499,18743.75
ORD01708,2025-02-09,CUST0095,Whiteboard,Stationery,North,1,1499,1557.01
ORD02035,2025-02-09,CUST0098,Running Shoes,Sportswear,East,3,3499,10227.55
ORD02834,2025-02-09,CUST0173,Sticky Notes Pack,Stationery,North,4,99,411.43
ORD00162,2025-02-09,CUST0091,Water Bottle,Sportswear,Central,3,449,1370.98
ORD01220,2025-02-09,CUST0069,Desk Lamp,Furniture,Central,1,899,869.97
ORD01311,2025-02-09,CUST0188,Notebook Set,Stationery,North,2,199,396.5
ORD01151,2025-02-10,CUST0134,Notebook Set,Stationery,South,4,199,807.72
ORD00737,2025-02-11,CUST0065,USB-C Hub,Electronics,West,2,1299,2537.0
ORD02774,2025-02-11,CUST0055,Water Bottle,Sportswear,Central,1,449,449.47
ORD00652,2025-02-11,CUST0146,USB-C Hub,Electronics,South,1,1299,1336.76
ORD01692,2025-02-11,CUST0174,USB-C Hub,Electronics,South,1,1299,1349.4
ORD02533,2025-02-11,CUST0009,Mechanical Keyboard,Electronics,East,3,2499,7706.44
ORD02039,2025-02-11,CUST0161,Notebook Set,Stationery,South,3,199,613.07
ORD00136,2025-02-11,CUST0122,Bluetooth Speaker,Electronics,West,1,1899,1881.01
ORD00107,2025-02-11,CUST0063,Whiteboard,Stationery,North,4,1499,6019.85
ORD02566,2025-02-11,CUST0198,Bluetooth Speaker,Electronics,South,1,1899,1810.3
ORD00500,2025-02-12,CUST0037,Sunglasses,Accessories,North,5,1299,6270.07
ORD02139,2025-02-13,CUST0123,Bluetooth Speaker,Electronics,North,1,1899,1906.31
ORD02571,2025-02-13,CUST0048,Wireless Mouse,Electronics,East,1,799,816.56
ORD01923,2025-02-13,CUST0168,Backpack,Accessories,South,1,1999,1908.23
ORD01266,2025-02-13,CUST0132,USB-C Hub,Electronics,West,2,1299,2582.61
ORD01501,2025-02-14,CUST0101,Wireless Mouse,Electronics,North,1,799,835.3
ORD00697,2025-02-14,CUST0135,Wireless Mouse,Electronics,West,1,799,780.94
ORD02697,2025-02-14,CUST0045,Notebook Set,Stationery,South,1,199,202.58
ORD00712,2025-02-15,CUST0129,Backpack,Accessories,North,1,1999,2047.94
ORD00959,2025-02-15,CUST0019,Backpack,Accessories,North,2,1999,4025.55
ORD01299,2025-02-15,CUST0157,Standing Desk,Furniture,South,3,12999,38809.99
ORD00035,2025-02-15,CUST0188,Office Chair,Furniture,North,4,6499,26183.93
ORD00452,2025-02-16,CUST0034,Sunglasses,Accessories,East,1,1299,1244.07
ORD02462,2025-02-16,CUST0066,Sunglasses,Accessories,South,4,1299,5158.23
ORD02938,2025-02-16,CUST0136,USB-C Hub,Electronics,East,1,1299,1263.22
ORD02461,2025-02-16,CUST0144,Sunglasses,Accessories,North,3,1299,3870.74
ORD01011,2025-02-16,CUST0084,Backpack,Accessories,West,1,1999,1941.08
ORD01564,2025-02-17,CUST0175,Backpack,Accessories,East,3,1999,5766.82
ORD01360,2025-02-17,CUST0141,Sticky Notes Pack,Stationery,South,4,99,407.69
ORD02962,2025-02-18,CUST0189,Office Chair,Furniture,East,4,6499,24700.96
ORD00387,2025-02-18,CUST0013,Standing Desk,Furniture,Central,2,12999,26486.88
ORD02826,2025-02-18,CUST0010,USB-C Hub,Electronics,South,1,1299,1271.95
ORD00946,2025-02-18,CUST0093,Bluetooth Speaker,Electronics,North,3,1899,5710.85
ORD02311,2025-02-18,CUST0103,Yoga Mat,Sportswear,North,1,999,1015.2
ORD01857,2025-02-19,CUST0142,USB-C Hub,Electronics,South,2,1299,2509.21
ORD01512,2025-02-19,CUST0094,Backpack,Accessories,North,2,1999,3848.69
ORD01598,2025-02-19,CUST0077,Yoga Mat,Sportswear,West,2,999,1963.0
ORD02301,2025-02-19,CUST0156,Mechanical Keyboard,Electronics,North,1,2499,2535.47
ORD00721,2025-02-20,CUST0048,Notebook Set,Stationery,East,3,199,572.41
ORD02104,2025-02-20,CUST0138,Whiteboard,Stationery,North,1,1499,1548.13
ORD00218,2025-02-20,CUST0078,Sunglasses,Accessories,Central,1,1299,1259.32
ORD00116,2025-02-20,CUST0011,Water Bottle,Sportswear,North,1,449,464.29
ORD00864,2025-02-20,CUST0070,Sticky Notes Pack,Stationery,North,2,99,207.59
ORD00811,2025-02-20,CUST0188,Mechanical Keyboard,Electronics,Central,3,2499,7442.19
ORD02544,2025-02-20,CUST0168,Whiteboard,Stationery,East,1,1499,1444.26
ORD02360,2025-02-20,CUST0056,Office Chair,Furniture,North,1,6499,6338.28
ORD01253,2025-02-21,CUST0133,Sunglasses,Accessories,East,4,1299,5189.67
ORD02730,2025-02-21,CUST0137,Wireless Mouse,Electronics,South,3,799,2496.81
ORD01746,2025-02-21,CUST0117,Bluetooth Speaker,Electronics,South,2,1899,3816.67
ORD00845,2025-02-21,CUST0133,Office Chair,Furniture,Central,1,6499,6674.49
ORD02710,2025-02-21,CUST0144,Notebook Set,Stationery,Central,2,199,384.37
ORD02163,2025-02-21,CUST0187,Desk Lamp,Furniture,East,3,899,2828.82
ORD01548,2025-02-21,CUST0099,Water Bottle,Sportswear,West,1,449,440.96
ORD00686,2025-02-21,CUST0078,Mechanical Keyboard,Electronics,North,1,2499,2550.57
ORD02211,2025-02-22,CUST0099,Standing Desk,Furniture,Central,3,12999,37537.4
ORD01328,2025-02-22,CUST0141,Notebook Set,Stationery,West,3,199,582.28
ORD01038,2025-02-22,CUST0010,Backpack,Accessories,South,3,1999,5714.06
ORD02584,2025-02-22,CUST0105,Sunglasses,Accessories,Central,1,1299,1332.2
ORD01395,2025-02-22,CUST0057,Sticky Notes Pack,Stationery,South,2,99,207.68
ORD00484,2025-02-23,CUST0130,Notebook Set,Stationery,West,1,199,200.99
ORD02829,2025-02-23,CUST0015,Desk Lamp,Furniture,East,3,899,2650.47
ORD00392,2025-02-24,CUST0117,Sticky Notes Pack,Stationery,West,2,99,199.35
ORD02072,2025-02-24,CUST0164,Bluetooth Speaker,Electronics,East,3,1899,5840.77
ORD02262,2025-02-24,CUST0156,Whiteboard,Stationery,South,1,1499,1527.57
ORD01630,2025-02-24,CUST0020,Wireless Mouse,Electronics,East,3,799,2282.5
ORD02354,2025-02-24,CUST0064,USB-C Hub,Electronics,West,5,1299,6363.2
ORD02200,2025-02-25,CUST0015,Desk Lamp,Furniture,East,2,899,1814.69
ORD02524,2025-02-25,CUST0144,Wireless Mouse,Electronics,West,3,799,2317.9
ORD01040,2025-02-25,CUST0092,Yoga Mat,Sportswear,Central,1,999,1018.24
ORD01978,2025-02-25,CUST0055,Office Chair,Furniture,Central,2,6499,13391.75
ORD02996,2025-02-25,CUST0187,Sticky Notes Pack,Stationery,West,2,99,193.89
ORD00702,2025-02-25,CUST0186,Whiteboard,Stationery,South,3,1499,4484.1
ORD02071,2025-02-25,CUST0053,Desk Lamp,Furniture,North,4,899,3466.83
ORD02355,2025-02-26,CUST0180,Wireless Mouse,Electronics,West,1,799,831.45
ORD02400,2025-02-26,CUST0150,Whiteboard,Stationery,West,4,1499,6259.34
ORD00277,2025-02-26,CUST0004,Water Bottle,Sportswear,Central,1,449,452.96
ORD01023,2025-02-26,CUST0020,Notebook Set,Stationery,Central,2,199,387.7
ORD02706,2025-02-26,CUST0041,Sunglasses,Accessories,East,3,1299,4000.25
ORD02754,2025-02-26,CUST0193,Sunglasses,Accessories,East,2,1299,2580.02
ORD01323,2025-02-26,CUST0199,Mechanical Keyboard,Electronics,South,1,2499,2623.2
ORD01333,2025-02-26,CUST0151,Running Shoes,Sportswear,South,4,3499,13470.78
ORD02568,2025-02-27,CUST0165,Office Chair,Furniture,Central,1,6499,6568.39
ORD02460,2025-02-27,CUST0151,Running Shoes,Sportswear,West,1,3499,3519.05
ORD00046,2025-02-27,CUST0127,Desk Lamp,Furniture,North,1,899,861.32
ORD00047,2025-02-27,CUST0048,Sticky Notes Pack,Stationery,North,1,99,99.49
ORD00648,2025-02-27,CUST0075,Mechanical Keyboard,Electronics,South,2,2499,4793.74
ORD01396,2025-02-27,CUST0033,Backpack,Accessories,East,1,1999,1944.17
ORD02228,2025-02-27,CUST0087,Mechanical Keyboard,Electronics,North,5,2499,12983.15
ORD00682,2025-02-28,CUST0070,Wireless Mouse,Electronics,South,1,799,761.89
ORD01119,2025-02-28,CUST0069,Wireless Mouse,Electronics,Central,4,799,3048.46
ORD02779,2025-02-28,CUST0032,Sticky Notes Pack,Stationery,East,3,99,301.61
ORD01064,2025-03-01,CUST0161,Water Bottle,Sportswear,Central,3,449,1298.58
ORD02172,2025-03-01,CUST0192,Water Bottle,Sportswear,South,1,449,455.81
ORD02055,2025-03-01,CUST0055,Water Bottle,Sportswear,North,3,449,1304.14
ORD02689,2025-03-01,CUST0103,Mechanical Keyboard,Electronics,North,1,2499,2501.02
ORD01189,2025-03-02,CUST0197,Bluetooth Speaker,Electronics,West,2,1899,3976.85
ORD00453,2025-03-02,CUST0138,Mechanical Keyboard,Electronics,South,3,2499,7835.48
ORD01092,2025-03-02,CUST0185,Standing Desk,Furniture,East,1,12999,12826.47
ORD01169,2025-03-02,CUST0149,Standing Desk,Furniture,West,1,12999,13241.91
ORD01175,2025-03-02,CUST0191,Water Bottle,Sportswear,Central,3,449,1312.74
ORD02106,2025-03-02,CUST0066,USB-C Hub,Electronics,West,1,1299,1297.98
ORD00843,2025-03-03,CUST0186,Sticky Notes Pack,Stationery,West,1,99,94.22
ORD01344,2025-03-03,CUST0141,Running Shoes,Sportswear,East,3,3499,10953.25
ORD00932,2025-03-03,CUST0052,Water Bottle,Sportswear,East,2,449,911.36
ORD02596,2025-03-03,CUST0069,Standing Desk,Furniture,Central,2,12999,25397.93
ORD01409,2025-03-03,CUST0175,Backpack,Accessories,East,2,1999,3974.87
ORD02143,2025-03-03,CUST0007,Desk Lamp,Furniture,South,3,899,2638.75
ORD02885,2025-03-03,CUST0031,Wireless Mouse,Electronics,North,2,799,1618.28
ORD01969,2025-03-04,CUST0082,Whiteboard,Stationery,Central,2,1499,3126.23
ORD00530,2025-03-04,CUST0194,Notebook Set,Stationery,Central,3,199,586.11
ORD02536,2025-03-04,CUST0108,Whiteboard,Stationery,Central,2,1499,2989.48
ORD00458,2025-03-04,CUST0135,Standing Desk,Furniture,Central,2,12999,26232.59
ORD01411,2025-03-05,CUST0166,Office Chair,Furniture,Central,3,6499,20083.49
ORD00505,2025-03-05,CUST0178,Sticky Notes Pack,Stationery,West,1,99,97.87
ORD02965,2025-03-05,CUST0200,Bluetooth Speaker,Electronics,South,1,1899,1917.87
ORD02145,2025-03-06,CUST0044,Wireless Mouse,Electronics,East,1,799,790.94
ORD00366,2025-03-06,CUST0133,Bluetooth Speaker,Electronics,West,2,1899,3894.25
ORD00213,2025-03-06,CUST0161,Yoga Mat,Sportswear,North,2,999,2007.69
ORD01071,2025-03-06,CUST0061,Notebook Set,Stationery,East,2,199,397.3
ORD00972,2025-03-06,CUST0149,Mechanical Keyboard,Electronics,West,2,2499,5145.92
ORD02089,2025-03-06,CUST0057,Office Chair,Furniture,South,2,6499,12904.4
ORD00688,2025-03-06,CUST0083,Standing Desk,Furniture,North,1,12999,12437.69
ORD00923,2025-03-06,CUST0113,Bluetooth Speaker,Electronics,North,1,1899,1840.77
ORD01402,2025-03-06,CUST0186,Sunglasses,Accessories,Central,3,1299,3800.46
ORD01020,2025-03-07,CUST0089,Standing Desk,Furniture,Central,4,12999,51629.16
